title,price,location_date,size
Moradia T4 Gerês c\ Vistas Deslumbrantes,135.000 €,Cibões E Brufe - 24 de julho de 2024,95 m²
Moradia T3 em Ribeirão,225.000 €,Ribeirão - 24 de julho de 2024,113 m²
Moradia T3 em Quintiães,350.000 €,Quintiães E Aguiar - 24 de julho de 2024,154 m²
"Moradia Isolada T4 Venda em Prado (São Miguel),Vila Verde",450.000 €,Prado (São Miguel) - 24 de julho de 2024,218 m²
"Quinta na Portela - Amares, com 45.000 m2.",395.000 €,Torre E Portela - 24 de julho de 2024,170 m²
"Vende-se Moradia V3, em Oriz Santa Marinha, Vila Verde!",135.000 €,Oriz (Santa Marinha) E Oriz (São Miguel) - 24 de julho de 2024,133 m²
Moradia individual T4 em Vila de Prado - Braga!,450.000 €,Prado (São Miguel) - 24 de julho de 2024,"200,50 m²"
"Moradia individual T4 Nova, no centro de Vila Verde!",375.000 €,Vila Verde E Barbudo - 24 de julho de 2024,182 m²
Moradia T4 individual em  Mire de Tibães - Braga!,328.000 €,Mire de Tibães - 24 de julho de 2024,180 m²
"Moradia V3 para venda em Duas Igrejas, Vila Verde!",89.900 €,Ribeira Do Neiva - 24 de julho de 2024,93 m²
Quinta em Vieira do Minho com cerca de 15.000 m2 de terreno!,275.000 €,Vieira do Minho - 24 de julho de 2024,"88,39 m²"
Moradia Térrea individual em Soutelo - Vila Verde,214.900 €,Soutelo - 24 de julho de 2024,185 m²
Quintinha com 2 casas rústicas para restauro.,95.000 €,Taíde - 24 de julho de 2024,212 m²
Moradia rch e 1° Andar para restauro.,97.000 €Negociável,Pousada de Saramagos - Para o topo a 22 de julho de 2024,87 m²
Moradia T3 nova em fase de acabamentos em Frossos - Braga!,320.000 €,Merelim (São Pedro) E Frossos - 24 de julho de 2024,160 m²
Moradia V3 com Piscina (a entrar em acabamentos),320.000 €,Gilmonde - 24 de julho de 2024,220 m²
"Moradia T3+1 em Sao Paio Merelim, Braga",350.000 €,"Merelim (São Paio), Panoias E Parada De Tibães - 24 de julho de 2024",187 m²
Moradia V3 Fafe,270.000 €,Fafe - 24 de julho de 2024,220 m²
